,text,created_at,date,trade_war,dax_close,dax_return,dax_op,usa_close,usa_return,usa_op,Date,china_close,china_return,china_op
0,....He is also my friend! At the same time I am pleased to nominate Deputy Secretary Dan Brouillette to be the new Secretary of Energy. Dan’s experience in the sector is unparalleled. A total professional I have no doubt that Dan will do a great job!,10-18-2019 19:34:21,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
1,I want to thank Secretary of Energy Rick Perry for the outstanding job he has done. He will be leaving at the end of the year to pursue other interests. Rick was a great Governor of Texas and a great Secretary of Energy....,10-18-2019 19:34:20,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
2,Can you believe I am doing this important work for our Country and have to deal with Corrupt Adam Schiff and the Do Nothing Democrats at the same time? It was not intended to be this way for a President!,10-18-2019 15:51:42,2019-10-18,True,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
3,DEFEAT TERRORISM! https://t.co/8WbnLPgWIK,10-18-2019 15:46:14,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
4,Just spoke to President @RTErdogan of Turkey. He told me there was minor sniper and mortar fire that was quickly eliminated. He very much wants the ceasefire or pause to work. Likewise the Kurds want it and the ultimate solution to happen. Too bad there wasn’t.....,10-18-2019 15:42:37,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
5,.....this thinking years ago. Instead it was always held together with very weak bandaids &amp; in an artificial manner. There is good will on both sides &amp; a really good chance for success. The U.S. has secured the Oil &amp; the ISIS Fighters are double secured by Kurds &amp; Turkey....,10-18-2019 15:42:37,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
6,....I have just been notified that some European Nations are now willing for the first time to take the ISIS Fighters that came from their nations. This is good news but should have been done after WE captured them. Anyway big progress being made!!!!,10-18-2019 15:42:37,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
7,RT @VVFriedman: POTUS discovers a ⁦@LouisVuitton⁩ bag https://t.co/MuuI2LcVpm,10-18-2019 13:11:25,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
8,RT @VVFriedman: The ⁦@LouisVuitton Trump ⁩ ribbon cutting. “Louis Vuitton...cost me a lot of money over the years” said the President. http…,10-18-2019 13:10:56,2019-10-18,True,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
9,The USA! https://t.co/Zdj3Lyo76H,10-18-2019 13:09:56,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
10,RT @VVFriedman: So here I am at the @LouisVuitton⁩ factory with the LV cattle in the LV fields in Johnson County Texas for the POTUS ribbo…,10-18-2019 13:08:57,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
11,RT @PressSec: .@LouisVuitton is one of more than 350 companies delivering on the Pledge to America’s Workers. Thank you for investing in th…,10-18-2019 13:08:23,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
12,RT @DanScavino: #TrumpRallyDallas #KAG2020 https://t.co/YZ7xrj8l1h,10-18-2019 13:07:08,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
13,Democrats are now the party of high taxes high crime open borders late-term abortion socialism and blatant corruption. The Republican Party is the party of the American Worker the American Family and the American Dream! #KAG2020 https://t.co/qXB198T5cM,10-18-2019 03:39:18,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
14,Tonight we forcefully condemn the blatant corruption of the Democrat Party the Fake News Media and the rogue bureaucrats of the Deep State. The only message these radicals will understand is a crushing defeat on November 3 2020! #KAG2020 https://t.co/QW1Rk99O4b,10-18-2019 03:06:57,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
15,The radical left tolerates no dissent it permits no opposition it accepts no compromise and it has absolutely no respect for the will of the American People. They are coming after me because I am fighting for YOU! #TrumpRallyDallas #KAG2020 https://t.co/OthKwS1bud,10-18-2019 02:57:07,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
16,Thank you Dallas Texas - I love you! #TrumpRallyDallas #KAG2020 https://t.co/meWpesDYeM,10-18-2019 02:26:39,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
17,Just arrived at the American Airlines Center in Dallas Texas. Will be out shortly as we wait for more of you to get in! #TRUMP2020 https://t.co/TB2baAFoBK,10-18-2019 00:21:37,2019-10-18,False,12633.59961,-0.168998438,0,2986.199951,-0.39347666600000003,0,18-10-2019,2938.139893,-1.333843398,0
18,See you soon Dallas Texas! https://t.co/Sg6xtp1vqQ,10-17-2019 23:22:43,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
19,RT @SarahAMatthews1: Dallas Texas crowd is getting ready for @realDonaldTrump with a little YMCA ‼️ https://t.co/9muhNZqGvZ,10-17-2019 23:20:47,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
20,This is a great day for civilization. I am proud of the United States for sticking by me in following a necessary but somewhat unconventional path. People have been trying to make this “Deal” for many years. Millions of lives will be saved. Congratulations to ALL!,10-17-2019 18:13:15,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
21,This deal could NEVER have been made 3 days ago. There needed to be some “tough” love in order to get it done. Great for everybody. Proud of all!,10-17-2019 18:03:25,2019-10-17,True,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
22,Great news out of Turkey. News Conference shortly with @VP and @SecPompeo. Thank you to @RTErdogan. Millions of lives will be saved!,10-17-2019 17:29:37,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
23,This number based on the Economy &amp; how well our Country is doing would potentially be 75% if not for the Fake News &amp; Phony Witch Hunt. 95% Approval Rating in the Republican Party! https://t.co/GFLxcNJOkk,10-17-2019 17:02:43,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
24,RT @GOPChairwoman: House Democrats are engaged in “Soviet style” tactics in their effort to attack @realDonaldTrump.So true @SteveScalis…,10-17-2019 15:09:09,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
25,RT @rww_gop: Voters are rejecting the Dems’ baseless obstruction &amp; socialist agenda and they’re making their voices heard loud &amp; clear. Su…,10-17-2019 15:08:35,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
26,As the Witch Hunt continues! https://t.co/klvvwSXq7M,10-17-2019 15:07:46,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
27,The Greatest Witch Hunt in American History! https://t.co/sPnloffJMT,10-17-2019 13:14:49,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
28,RT @realDonaldTrump: Years of BAD GOVERNMENT such a sorry thing to see! https://t.co/H1r2Be2YS6,10-17-2019 12:59:25,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
29,RT @realDonaldTrump: “About 500000 human beings were killed in Syria while Barack Obama was president &amp; leading for a “political settlemen…,10-17-2019 12:58:53,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
30,RT @realDonaldTrump: I am the only person who can fight for the safety of our troops &amp; bring them home from the ridiculous &amp; costly Endless…,10-17-2019 12:58:35,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
31,My warmest condolences to the family and many friends of Congressman Elijah Cummings. I got to see first hand the strength passion and wisdom of this highly respected political leader. His work and voice on so many fronts will be very hard if not impossible to replace!,10-17-2019 12:54:55,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
32,RT @realDonaldTrump: THANK YOU WORKING HARD! https://t.co/sNUppjB4Xm,10-17-2019 12:39:03,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
33,RT @realDonaldTrump: FAKE NEWS! https://t.co/ta8ii8yetP,10-17-2019 12:39:00,2019-10-17,False,12654.9502,-0.11979626,0,2997.949951,0.27552194399999996,1,17-10-2019,2977.330078,-0.046346322999999995,0
